name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Steven Wardropper,Scotland,0.0,0.0,1478.9828563698827,1462.4965706151652
Siripaporn Nuanthakhamjan,Thailand,1325.8426773799652,1016.0615559111183,799.9022980872246,799.9022980872246
Mohamed Ibrahim,"Egypt",1007.5422978330895,963.2246354336266,963.2246354336266,963.2246354336266
Lim Kok Leong,Malaysia,0.0,0.0,1431.4682631891421,1431.4682631891421
Jimmy Robertson,"England",1701.050641898586,1606.8904553520922,1933.4751006411914,1841.5518146877102
Ethan Llewellyn,England,0.0,0.0,0.0,1429.7878106405662
Gary Wilson,"England",1914.9091023708456,2045.3923327783605,1765.511337583049,2102.606716979555
Faisal Bahashwan,Saudi Arabia,0.0,0.0,1433.9425336349564,1433.9425336349564
He Guoqiang,China,0.0,1642.6466184982382,1661.3777608830287,1880.626955277599
Manasawin Phetmalaikul,England,0.0,1218.8015748472155,1312.8834842659608,1312.8834842659608
Fraser Patrick,"Scotland",1335.5417204909306,1335.5417204909306,1335.5417204909306,1335.5417204909306
Lukas Kleckers,"Germany",1472.964836537549,1387.3666324950038,1387.3666324950038,1387.3666324950038
Jamie O'Neill,"England",1275.2305385150835,1241.7176695559833,1207.3536232556041,1207.3536232556041
Dominic Dale,"Wales",1461.4545445147821,1584.600316054668,1400.8540274275888,1400.8540274275888
Alex Clenshaw,England,0.0,0.0,0.0,1421.2719668474076
Jamie Clarke,"Wales",1489.077762377633,1481.2916658814368,1468.7894190862462,1497.5859767906734
Chris Totten,Scotland,0.0,1427.7729113624232,1427.4896249863402,1328.1201213462336
Gong Chenzhi,China,0.0,1284.2671763057087,1515.148246620686,1276.2611843646357
Ashley Hugill,"England",1499.579372205231,1698.76751917109,1698.76751917109,1632.185092236357
Jack Lisowski,"England",1869.7911121041802,2103.0359478498162,1965.3135997628258,1840.8989822415303
Peter Devlin,England,1499.500064343029,1499.500064343029,1499.500064343029,1499.500064343029
Wang Xinzhong,China,0.0,1358.4247919320828,1358.4247919320828,1673.8167153145891
Kusai Hamed Sharif,Libya,0.0,0.0,1392.801264015276,1392.801264015276
Zhao Xintong,"China",1757.245199134908,1757.245199134908,2651.8950744339204,2548.912976402926
Hammad Miah,"England",1243.1150787112729,1268.771987883708,1443.4325342232075,1302.897412435082
Habib Subah Humood,Bahrain,0.0,0.0,1352.0137634179937,1298.0059904790678
Robert Milkins,"England",1733.2065607129648,1627.2449949140719,1473.500345988105,1452.1064847045147
Jenson Kendrick,"England",841.8673851385369,1551.898581504184,1551.898581504184,1551.898581504184
Aaron Hill,"Ireland",1511.000886103381,1579.9914569030993,1844.607466452924,1797.8337971089124
Luke Simmonds,England,1339.345067612648,1339.345067612648,1339.345067612648,1339.345067612648
Andy Hicks,"England",1454.906547614477,1504.880974576146,1504.880974576146,1504.880974576146
Shaun Murphy,"England",2228.910928100693,1901.7131258347372,2348.990608816813,2399.356408680382
Jak Jones,"Wales",2061.4972832485855,2277.641524832178,2028.8381310317563,2064.3499244555005
Zhang Anda,"China",1740.059737362624,1942.2899429462777,1754.9681984647384,2179.592424364583
Mohammed Asif,"Pakistan",1082.6924075401253,1154.425967711281,1154.425967711281,1154.425967711281
Leone Crowley,Ireland,0.0,1483.8745392419382,1277.1302706759134,1316.3406652118583
Robbie Williams,"England",1645.14322930637,1793.939564721632,1634.4541193576683,1694.618865093382
Long Zehuang,China,0.0,1563.5851404236978,1734.6741519131306,1864.2686188521393
Daniel Womersley,England,0.0,1351.3479203952375,1247.4941529178468,1250.7006546458024
Musab Sayegh,Saudi Arabia,0.0,0.0,0.0,1432.7248294012113
Matthew Stevens,"Wales",1674.7470808965395,1663.75653069532,1774.4263505946399,1707.6527346548505
Harvey Chandler,England,1420.3435955058326,1420.3435955058326,1387.132296867504,1387.132296867504
Jackson Page,"Wales",1749.9753525687615,1808.228742700344,1957.7056213377587,1690.1270382353034
Zhou Jinhao,China,0.0,0.0,1400.7591861130934,1426.9837114683387
Zou Pengfei,China,0.0,0.0,1469.047948496786,1469.047948496786
Cao Yupeng,"China",1663.6705880380434,1788.3614815805752,1788.3614815805752,1788.3614815805752
Wu Yize,"China",1825.8216119186081,1561.0506481218292,2002.10943869285,2416.181865998855
Gary Thomson,Scotland,0.0,0.0,0.0,1423.646711423051
Cao Jin,China,0.0,0.0,1460.411143196772,1460.411143196772
Steven Hallworth,England,1521.3439130831846,1440.8035926647394,1429.430981162656,1335.396393211021
Joe Perry,"England",1668.7985298707392,1524.5808094766803,1620.7622238700794,1620.7622238700794
Lewis Ullah,England,1317.8134687631575,1317.8134687631575,1245.1796610002784,1245.1796610002784
Ayman Alamri,Saudi Arabia,0.0,0.0,1415.5859820553937,1354.0833824720066
Han Fuyuan,China,0.0,0.0,0.0,1453.9368155923582
Joel Connolly Jnr,Northern Ireland,1346.9786715362588,1202.4215250577406,1206.1217322248388,1190.3228964612456
Adam Duffy,"England",1237.637990240202,1196.023898128749,1196.023898128749,1196.023898128749
Iulian Boiko,Ukraine,1591.7630811256706,1472.9056966715948,1539.52914519155,1505.4966172532845
Amaan Iqbal,Scotland,1325.4649279761186,1239.4648295443276,1101.346743691468,1084.4701335170873
