name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Jake Crofts,England,1406.1276332738205,1406.1276332738205,1406.1276332738205,1406.1276332738205,1406.1276332738205
Paul Norris,England,1500.0,1500.0,1500.0,1500.0,1182.0677079786778
Callum Beresford,England,1325.4275944923404,1325.4275944923404,1325.4275944923404,1325.4275944923404,1325.4275944923404
Fergal Quinn (II),Northern Ireland,1500.0,1433.5862252181373,1460.2415472075388,1188.866046363803,1114.1393802141686
Cody Turner,New Zealand,1500.0,1500.0,1500.0,1394.6256075655945,1394.6256075655945
Noppon Saengkham,"Thailand",1918.961833434079,1937.9155877405678,1848.7818075325622,1878.0909949759593,1978.0358878066186
Filips Kalniņš,Latvia,1181.5905737682256,1343.0151911305463,1343.0151911305463,1343.0151911305463,1343.0151911305463
Ahmed Aly Elsayed,United States,1500.0,925.1484144771009,1035.7638466547633,1035.7638466547633,1035.7638466547633
Musaad Almisfir,Saudi Arabia,1500.0,1500.0,1500.0,1447.8731220804852,1447.8731220804852
Xiao Guodong,"China",1805.631702445071,1882.0520040484619,2379.2454085591808,1979.242693027397,2111.846375946821
Joe O'Connor,"England",1887.9122511625574,2042.614261013232,2290.768256226014,1893.209400323593,1732.709731975152
Chang Bingyu,"China",1329.017234428862,1329.017234428862,1329.017234428862,1909.3389698574963,2006.2679574941274
Barry Hawkins,"England",1798.8395662403282,2005.109160749461,2562.8251174768666,2412.508478724531,2081.3772924526893
Amir Sarkhosh,Iran,1500.0,1426.49763068417,1231.139355290663,1378.7422073519583,1378.7422073519583
Zhang Xiao,China,1500.0,1500.0,1500.0,1462.2877714365923,1462.2877714365923
Barry Pinches,"England",1431.7058795385528,1424.9280837267,1486.7709495532033,1486.7709495532033,1486.7709495532033
Lee Walker,Wales,1456.1832188276646,1456.1832188276646,1456.1832188276646,1456.1832188276646,1456.1832188276646
Anthony Hamilton,"England",1537.7654639971004,1492.0929874373228,1558.5560982084542,1558.5560982084542,1558.5560982084542
Deng Haohui,China,1500.0,1473.8867287961875,1473.8867287961875,1473.8867287961875,1419.1400970159377
Adeel Aqdus,Pakistan,1500.0,1500.0,1453.747506822812,1395.637120603063,1395.637120603063
Ben Mertens,"Belgium",1518.9893069817686,1565.2562483139436,1318.3872147599761,1635.7275773231117,1439.9518956603035
Cheung Ka Wai,Hong Kong,1500.0,1441.181475210525,1546.9503894422314,1629.7339238521563,1610.7590358696189
